city,year,page,line_no,organization_name,category,sub_category,line,address,description
Kansas City,1874,42,1,AFRICAN METHODIST CHURCH,Churches,,"AFRICAN METHODIST CHURCH. Rev. T. W. Hender- son, Pastor. Charlotte, southeast corner Tenth.",,
Kansas City,1874,42,2,AFRIGAN METHODIST CHURCH,Churches,,"AFRIGAN METHODIST CHURCH. Rev. S. Washington. Pastor. East side State Line, between St. Louis avenue and Ninth, West Kansas,",,
Kansas City,1874,42,3,GRAND AVENUE METHODIST CHURCH,Churches,,"GRAND AVENUE METHODIST CHURCH. Rev. G. B. De La Matyr, Pastor. Grand avenue, southeast corner Ninth.",,
Kansas City,1874,42,4,METHODIST EPISCOPAL CHURCH (SOUTH),Churches,,"METHODIST EPISCOPAL CHURCH (SOUTH). Rev. F. Boggs, Pastor. East side Walnut, between Eighth and Ninth.",,
Kansas City,1874,42,5,SIXTEENTH ST. METHODIST EPISCOPAL CHURCH,Churches,,"SIXTEENTH ST. METHODIST EPISCOPAL CHURCH- Cherry, northeast corner Sixteenth.",,
Kansas City,1874,42,6,LIBERTY ST. METHODIST EPISCOPAL CHURCH,Churches,,"LIBERTY ST. METHODIST EPISCOPAL CHURCH.- Joy, southeast corner Liberty, West Kansas.",,
Kansas City,1874,42,7,CENTRAL PRESBYTERIAN CHURCH (OLD SCHOOL.),Churches,,"CENTRAL PRESBYTERIAN CHURCH (OLD SCHOOL.) - Rev. A. D. Madeira, Pastor. Grand avenue, near Ninth.",,
Kansas City,1874,42,8,CUMBERLAND PRESBYTERIAN CHURCH,Churches,,"CUMBERLAND PRESBYTERIAN CHURCH. Rev. J. E. Sharp, Pastor. South side Fourteenth, between Oak and Locust.",,
Kansas City,1874,42,9,FIRST PRESBYTERIAN CHURCH,Churches,,"FIRST PRESBYTERIAN CHURCH. Rev. H. C. Hovey, Pastor. Grand avenue, between Tenth and Eleventh.",,
Kansas City,1874,42,10,SECOND PRESBYTERIAN CHURCH,Churches,,"SECOND PRESBYTERIAN CHURCH. Rev. W. М. Cheever, Pastor. Wyandotte, southeast corner Eighth.",,
Kansas City,1874,42,11,THIRD PRESBYTERIAN CHURCH,Churches,,"THIRD PRESBYTERIAN CHURCH. Rev. D. C. Milner, Pastor. Joy, northwest corner Hickory, West Kansas.",,
Kansas City,1874,42,12,UNITED PRESBYTERIAN CHURCH,Churches,,"UNITED PRESBYTERIAN CHURCH. Rev. J. K. Mar- tin, Pastor. East side Walnut, between Ninth and Tenth.",,
Kansas City,1874,42,13,FIRST SOCIETY SPIRITUALISTS,Clubs,,"FIRST SOCIETY SPIRITUALISTS.-Long's Hall, 509 Main.",,
Kansas City,1874,42,14,UNITARIAN CHURCH,Churches,,"UNITARIAN CHURCH. Rev. W. M. King, Pastor. Dela- ware, between Tenth and Eleventh.",,
