city,year,page,line_no,organization_name,category,sub_category,line,address,description
Kansas City,1876,48,8,WOMAN'S CHRISTIAN ASSOCIATION,Welfare Organizations,,"WOMAN'S CHRISTIAN ASSOCIATION.-Walnut, north- west corner Thirteenth. Mrs. J. G. Roberts, President; Mrs.",,
Kansas City,1876,48,2,WIDOWS' AND ORPHANS' HOME,Welfare Organizations,,"WIDOWS' AND ORPHANS' HOME. Located south of city limits. Board of Directors: L. W. Burris, J. P. Henry, Theodore S. Case, W. R. Barnard, and S. P. Twiss. Mrs. Dr. Lykins, Superintendent.",,
Kansas City,1876,48,3,ST. VITUS ROMAN CATHOLIC MUTUAL BENEVO- LENT SOCIETY,Benevolent and Fraternal,,"ST. VITUS ROMAN CATHOLIC MUTUAL BENEVO- LENT SOCIETY.-Meets at the basement of German Catho- lic Church, on the second Sunday of each month. P. J. Henn, President; Joseph Binder, Vice-President; Adam Becker, Treasurer; Adam Wagner, Secretary.",,
Kansas City,1876,48,4,TOTAL ABSTINENCE SOCITEY,Clubs,,"TOTAL ABSTINENCE SOCITEY. Rev. Father James Dunn, President; John Dolan, Secretary; Dennis O'Shea, Treasurer. Meets on the third Sunday of each month, on the southeast corner Seventh and McGee.",,
Kansas City,1876,48,5,GERMAN BUILDING ASSOCIATION,Uncategorized,,"GERMAN BUILDING ASSOCIATION.-B. A. Feineman, President; C. J. White, Treasurer; Charles Long, Secretary. 523 Main.",,
Kansas City,1876,48,6,"KANSAS CITY BULIDING, LOAN AND SAVINGS AS- SOCIATION",Uncategorized,,"KANSAS CITY BULIDING, LOAN AND SAVINGS AS- SOCIATION.-A. A. Bainbridge, President; James Smith, Vice President; John P. Swygard, Secretary; D. O. Smart, Treasurer. Main, southwest corner Ninth.",,
Kansas City,1876,48,7,MUTUAL HOUSE BUILDING ASSOCIATION,Benevolent and Fraternal,,"MUTUAL HOUSE BUILDING ASSOCIATION.-F. As- kew, President; E. H. Allen, Vice President; J. S. Chick, Treasurer; J. F. Allen, Secretary. First National Bank Building.",,
Kansas City,1876,50,2,HOMEOPATHIC MEDICAL SOCIETY OF KANSAS CITY,Uncategorized,,"HOMEOPATHIC MEDICAL SOCIETY OF KANSAS CITY.-Meets first and third Tuesdays of each month. J. Feld, M. D, President; P. Baker, M. D., Vice-President; W. H. Jenny, M. D., Secretary, C. E. McCollister, M. D., Treas urer.",,
Kansas City,1876,50,3,KANSAS CITY CLEARING HOUSE,Uncategorized,,"KANSAS CITY CLEARING HOUSE.-J. Q. Watkins, President: J. S. Chick, Vice-President; W. H. Winants, Man- ager. Meets at the Board of Trade Nooms daily at 12 M.",,
Kansas City,1876,50,4,BOARD OF FIRE UNDERWRITERS,Uncategorized,,"BOARD OF FIRE UNDERWRITERS.-Nathaniel Grant, President; F. H. Benson, Secretary. Meets first Friday in every month, at F. H. Benson & Son's, 521 Main.",,
Kansas City,1876,50,5,KANSAS CITY INDUSTRIAL EXPOSITION AND AG- RICULTURAL FAIR ASSOCIATION,Uncategorized,,"KANSAS CITY INDUSTRIAL EXPOSITION AND AG- RICULTURAL FAIR ASSOCIATION. - Kersey Coates, President: W. B. Everhart, Vice-President: Daniel L. Hali, Secretary. E. L. Martin, Treasurer; Office, 15 West Fifth street. Grounds, Twelfth, southwest corner Campbell.",,
Kansas City,1876,50,6,KANSAS CITY TRANSFER COMPANY,Uncategorized,,"KANSAS CITY TRANSFER COMPANY.-0. Chanute, President; L. Dragon, Superintendent: H. M. Lee, Secretary. Office, 413 Delaware. Stables, corner Tenth and Broadway.",,
Kansas City,1876,50,7,KANSAS CITY FREAR STONE AND PIPE MANUFAC TURING COMPANY,Uncategorized,,"KANSAS CITY FREAR STONE AND PIPE MANUFAC TURING COMPANY.-D. M. Jarboe, President: John R. Balis, Secretary C. A. Brockett, Business Manager. West Levee, foot of Sixth. West Kansas.",,
Kansas City,1876,50,8,KANSAS CITY LAW LIBRARY ASSOCIATION,Uncategorized,,"KANSAS CITY LAW LIBRARY ASSOCIATION.-C. O. Tichenor, President; Turner A. Gill, Vice-President; John 1). S. Cook, Secretary; Thos. V. Bryant, Treasurer: Gardiner Lathrop, Auditor; Edward H. Bouton, Librarian. Rooms, New Court House.",,
Kansas City,1876,50,9,KANSAS CITY GAS LIGHT AND COKE COMPANY,Uncategorized,,"KANSAS CITY GAS LIGHT AND COKE COMPANY.- M. J. Payne, President; Thomas Orr, Vice-President; J. W. Allen, Secretary; Harry Clarke, Superintendent; John Camp- bell, Treasurer. Office, north side Missouri avenue, between Main and Delaware.",,
Kansas City,1876,50,10,KANSAS STOCK YARDS COMPANY,Uncategorized,,"KANSAS STOCK YARDS COMPANY. -Charles Francis Adams, Jr., President; George H. Nettleton, General Manager;",,
Kansas City,1876,50,2,RAILROAD TRANSFER COMPANY OF MISSOURI,Uncategorized,,"RAILROAD TRANSFER COMPANY OF MISSOURI.- C. A. Chace, President; J. M. Lee, Vice-President; W. W. Brown, Superintendent; J. E. Smith, Auditor; George W. Sedgwick, Secretary and Treasurer. Office, south side Missouri avenue, between Main and Delaware.",,
Kansas City,1876,50,3,KANSAS CITY ELEVATOR COMPANY,Uncategorized,,"KANSAS CITY ELEVATOR COMPANY.-A. J. Gillespie, President. Liberty, corner Twelfth, West Kansas.",,
Kansas City,1876,50,4,THE WESTERN MEDICAL AND SURGICAL INSTI- TUTE,Hospitals,,"THE WESTERN MEDICAL AND SURGICAL INSTI- TUTE.-D. E. Dickerson and John Stark, Physicians in charge. 425 Delaware.",,
Kansas City,1876,50,5,DR. PAYNE'S KANSAS CITY SURGICAL AND MED- ICAL INSTITUTE,Hospitals,,DR. PAYNE'S KANSAS CITY SURGICAL AND MED- ICAL INSTITUTE.-617 Main street.,,
Kansas City,1876,50,6,LOAN AND INVESTMENT CORPORATION,Uncategorized,,"LOAN AND INVESTMENT CORPORATION.--Beverley R. Keim, President; E. H. Allen, Cashier; Ben. D. Allen. Secretary. Office, Fourth, northwest corner Delaware.",,
Kansas City,1876,50,7,NATIONAL WATERWORKS COMPANY,Uncategorized,,"NATIONAL WATERWORKS COMPANY.-B. F. Jones, Secretary and Treasurer. Times Building, north side Fourth, between Main and Delaware.",,
Kansas City,1876,50,8,KANSAS ROLLING MILL COMPANY,Uncategorized,,"KANSAS ROLLING MILL COMPANY.-A. B. Stone, President; W. H. Harris, Vice-President; Ira Harris, Secretary; D. S. Mathias, Superintendent. Office, west side Broad- way, between Fifth and Sixth.",,
Kansas City,1876,50,9,UNION ELEVATOR COMPANY,Labor Organizations,,"UNION ELEVATOR COMPANY. - Thomas Corrigan, President, H. M. Holden, Vice-President; C. H. Prescott, Secretary and Treasurer; H. J. Latshaw, General Superin- tendent. West Levee, foot of Sixth, W. K.",,
Kansas City,1876,50,10,UNION STOCK YARD COMPANY,Labor Organizations,,"UNION STOCK YARD COMPANY.-J. H. Burke, Super- intendent. Twelfth and State Line, West Kansas.",,
Kansas City,1876,50,11,KANSAS CITY SURGICAL AND MEDICAL INSTI- TUTE,Hospitals,,"KANSAS CITY SURGICAL AND MEDICAL INSTI- TUTE.-Drs. Cooley and Foster in charge. Twelfth, northwest corner Grand avenue.",,
Kansas City,1876,50,12,ARION QUARTETTE CLUB,Clubs,,"ARION QUARTETTE CLUB.-Meets at Turner Hall every Tuesday and Friday evening. John Paulsen, Secretary; G. Ortloff, President.",,
Kansas City,1877,40,1,RAILWAY,Uncategorized,,"RAILWAY.-P. Roberts, Pres.; G. W. Vaughn, Supt.; J. H. Roberts, Agent. Passenger Depot, foot Grand avenue.",,
Kansas City,1877,40,2,CHICAGO & ALTON RAILROAD,Uncategorized,,"CHICAGO & ALTON RAILROAD.-W. H. Reed, Western Agent; Main, southwest corner Fourth.",,
Kansas City,1877,40,3,WESTPORT AND KANSAS CITY HORSE RAILROAD COMPANY,Uncategorized,,"WESTPORT AND KANSAS CITY HORSE RAILROAD COMPANY.-John A. Loughridge, President; C. J. White, Secretary; Thomas H. Mastin, Treasurer. Office and Stables, Westport road, south of O K Creek.",,
Kansas City,1877,40,4,JACKSON COUNTY HORSE RAILROAD COMPANY,Uncategorized,,"JACKSON COUNTY HORSE RAILROAD COMPANY.- Meade Woodson, President; Byron E. Dye, Superintendent. Office north side Fourth, between Main and Delaware.",,
Kansas City,1877,40,5,KANSAS CITY HORSE RAILROAD COMPANY,Uncategorized,,"KANSAS CITY HORSE RAILROAD COMPANY.-Dr. D. E. Dickerson, President; D. Ellison, Secretary; Byron E. Dye, Superintendent. Office, north side Fourth, between Main and Delaware,",,
Kansas City,1877,40,6,CORRIGAN STREET RAILWAY COMPANY,Uncategorized,,"CORRIGAN STREET RAILWAY COMPANY.-Stables, Seventeenth, corner Catherine.",,
Kansas City,1877,40,7,ATLANTIC AND PACIFIC TELEGRAPH CO.,Uncategorized,,"ATLANTIC AND PACIFIC TELEGRAPH CO.-J. E. Lewis, Manager, 19 West Fifth street.",,
Kansas City,1877,40,8,WESTERN UNION TELEGRAPH CO.,Uncategorized,,"WESTERN UNION TELEGRAPH CO.-M. D. Wood, As- sistant Superintendent and Manager; 12 West Fifth street.",,
Kansas City,1877,40,9,COMMERCIAL NATIONAL BANK,Uncategorized,,"COMMERCIAL NATIONAL BANK.-Meade Woodson, Cashier; 14 West Fifth.",,
Kansas City,1877,40,10,FIRST NATIONAL BANK,Uncategorized,,"FIRST NATIONAL BANK.-Howard M. Holden, Presi-",,
Kansas City,1877,40,2,BANK OF KANSAS CITY,Uncategorized,,"BANK OF KANSAS CITY.-Nathan Scarritt, President; Bernard Donnelly, Secretary; J. S. Chick, Cashier; W. J. Anderson, Assistant Cashier. 521 Main.",,
Kansas City,1877,40,3,KANSAS CITY SAVINGS ASSOCIATION,Uncategorized,,"KANSAS CITY SAVINGS ASSOCIATION.-C. J. White, Cashier; Delaware, southwest corner Fourth.",,
Kansas City,1877,40,4,MASTIN BANK,Uncategorized,,"MASTIN BANK.-S. E. Ward, President, D. O. Smart, Vice President; John J. Mastin, Cashier; Thomas H. Mastin, Assistant Cashier. Merchants' Exchange Building, Delaware, southwest corner Fifth.",,
Kansas City,1877,40,5,MISSOURI VALLEY BANK,Uncategorized,,"MISSOURI VALLEY BANK.-A. T. Jenkins, President; A. A. Goodman, Vice President; A. J. Baker, Cashier. Union avenue, near Santa Fe, West Kansas.",,
Kansas City,1877,40,6,THE WATKINS BANK,Uncategorized,,"THE WATKINS BANK.-W. M. Couch, President; B. A. Feineman, Vice President; J. Q. Watkins, Cashier; D. Street, Assistant Cashier. Main, southwest corner Second.",,
Kansas City,1877,40,7,FIRST BAPTIST CHURCH,Churches,,"FIRST BAPTIST CHURCH.-Rev. J. C. Bonham, Pastor. May, northeast corner Eighth.",,
Kansas City,1877,40,8,CALVARY BAPTIST CHURCH,Churches,,"CALVARY BAPTIST CHURCH.-Rev. J. E. Chamblis, Pastor. Northeast corner Grand avenue and Eleventh.",,
Kansas City,1877,40,9,AFRICAN MISSION BAPTIST CHURCH,Churches,,"AFRICAN MISSION BAPTIST CHURCH.-Rev. Henry Roberson, Pastor. Charlotte, southwest corner Tenth.",,
Kansas City,1877,40,10,CHURCH OF THE IMMACULATE CONCEPTION,Churches,,"CHURCH OF THE IMMACULATE CONCEPTION.-Rev. Father Bernard Donnelly, Pastor. Broadway, between Elev- enth and Twelfth.",,
Kansas City,1877,40,11,ST. PATRICK'S CHURCH,Churches,,"ST. PATRICK'S CHURCH.-Rev. Father Dunn, Pastor. Cherry, southwest corner Eighth.",,
Kansas City,1877,42,1,ST. PETER AND ST. PAUL'S CHURCH,Churches,,"ST. PETER AND ST. PAUL'S CHURCH. Rev. Father H. Hukestein, Pastor. McGee, southwest corner Ninth.",,
Kansas City,1877,42,2,THE CHURCH OF THE ANNUNCIATION,Churches,,"THE CHURCH OF THE ANNUNCIATION. -Rev. Father W. J. Dalton, Pastor. Fourteenth, southeast corner Wyoming, West Kansas.",,
Kansas City,1877,42,3,CHRISTIAN CHURCH,Churches,,"CHRISTIAN CHURCH. Rev. J. Z. Taylor, Pastor. Main, southwest corner Twelfth.",,
Kansas City,1877,42,4,GRAND AVENUE CONGREGATIONAL CHURCH,Churches,,"GRAND AVENUE CONGREGATIONAL CHURCH.- Rev. J. G. Roberts, Pastor. Grand avenue, southwest corner Tenth.",,
Kansas City,1877,42,5,GRACE EPISCOPAL CHURCH,Churches,,"GRACE EPISCOPAL CHURCH. Rev. Herman C. Duncan, Rector. Tenth, southeast corner Central.",,
Kansas City,1877,42,6,ST. LUKE'S EPISCOPAL CHURCH,Churches,,"ST. LUKE'S EPISCOPAL CHURCH. Rev. M. Erastus Buck, rector. Eighth, southeast corner Walnut.",,
Kansas City,1877,42,7,GERMAN EVANGELICAL ST. PETER'S CHURCH,Churches,,"GERMAN EVANGELICAL ST. PETER'S CHURCH.- Rev. Henry Kirchhoff, Pastor. East side of Walnut, between Tenth and Eleventh.",,
Kansas City,1877,42,8,B'NAI JEHUDAH,Churches,,"B'NAI JEHUDAH. Rev. D. Burgheim, Rabbi. Sixth, southeast corner Wyandotte.",,
Kansas City,1877,42,9,FIRST ENGLISH LUTHERAN CHURCH,Churches,,"FIRST ENGLISH LUTHERAN CHURCH. Rev. T. F. Dornblaser, Pastor. West side Delaware, between Tenth and Eleventh.",,
Kansas City,1877,42,10,SWEDISH LUTHERAN CHURCH,Churches,,"SWEDISH LUTHERAN CHURCH. Rev. C. E. Robinson,",,
Kansas City,1877,42,2,AFRICAN METHODIST CHURCH,Churches,,"AFRICAN METHODIST CHURCH. Rev. Richard Ricketts, Pastor; Charlotte, southeast corner Tenth.",,
Kansas City,1877,42,3,AFRICAN METHODIST CHURCH,Churches,,"AFRICAN METHODIST CHURCH.--Rev. Joseph P. Howard, Pastor, east side State Line, between St. Louis avenue and Ninth, West Kansas.",,
Kansas City,1877,42,4,GRAND AVENUE METHODIST EPISCOPAL CHURCH,Churches,,"GRAND AVENUE METHODIST EPISCOPAL CHURCH. -Rev. A. C. Williams, Pastor; Grand avenue, southeast corner Ninth.",,
Kansas City,1877,42,5,METHODIST EPISCOPAL CHURCH (SOUTH),Churches,,"METHODIST EPISCOPAL CHURCH (SOUTH). -Rev. H. A. Bourland, Pastor; east side Walnut, between Eighth and Ninth streets.",,
Kansas City,1877,42,6,SIXTEENTH ST. METHODIST EPISCOPAL CHURCH,Churches,,"SIXTEENTH ST. METHODIST EPISCOPAL CHURCH. -Cherry, northeast corner Sixteenth.",,
Kansas City,1877,42,7,LIBERTY ST. METHODIST EPISCOPAL CHURCH,Churches,,"LIBERTY ST. METHODIST EPISCOPAL CHURCH.- Rev. J. P. Dew, Pastor; Thirteenth, southeast corner of Liberty, West Kansas.",,
Kansas City,1877,42,8,CENTRAL PRESBYTERIAN CHURCH (OLD SCHOOL),Churches,,"CENTRAL PRESBYTERIAN CHURCH (OLD SCHOOL).- Rev. A. D. Medeira, Pastor; Grand avenue, southwest corner Eighth.",,
Kansas City,1877,42,9,CUMBERLAND PRESBYTERIAN CHURCH,Churches,,"CUMBERLAND PRESBYTERIAN CHURCH.-South side Fourteenth, between Oak and Locust.",,
Kansas City,1877,42,10,FIRST PRESBYTERIAN CHURCH,Churches,,"FIRST PRESBYTERIAN CHURCH. Grand avenue, between Tenth and Eleventh.",,
Kansas City,1877,42,11,SECOND PRESBYTERIAN CHURCH,Churches,,"SECOND PRESBYTERIAN CHURCH. Rev. W. M. Cheever, Pastor; east side Wyandotte, between Eighth and Ninth.",,
Kansas City,1877,42,12,THIRD PRESBYTERIAN CHURCH,Churches,,"THIRD PRESBYTERIAN CHURCH. Rev. L. Railsback, Pastor; Thirteenth, northwest corner Hickory, West Kansas.",,
Kansas City,1877,42,13,UNITED PRESBYTERIAN CHURCH,Churches,,"UNITED PRESBYTERIAN CHURCH. Rev. D. M. McClellan, Pastor; east side Walnut, between Ninth and Tenth.",,
Kansas City,1877,44,1,UNITARIAN CHURCH,Churches,,"UNITARIAN CHURCH.-Delaware, between Tenth and Eleventh.",,
Kansas City,1877,44,2,WASHINGTON STREET TABERNACLE,Churches,,"WASHINGTON STREET TABERNACLE.-W. B. Barber, Pastor; west side Washington, between Thirteenth and Four- teenth.",,
Kansas City,1877,44,11,CENTRAL SCHOOL,Uncategorized,,"CENTRAL SCHOOL.-E. C. White, Principal. Locust, southeast corner Eleventh.",,
Kansas City,1877,44,12,WASHINGTON SCHOOL,Uncategorized,,"WASHINGTON SCHOOL.-J. W. Perkins, Principal. In- dependence avenue, southwest corner Cherry.",,
Kansas City,1877,44,13,HUMBOLDT SCHOOL,Uncategorized,,"HUMBOLDT SCHOOL.-Mrs. A. J. Warren, Principal. Twelfth, northwest corner Locust.",,
Kansas City,1877,44,14,FRANKLIN SCHOOL,Uncategorized,,"FRANKLIN SCHOOL. - Major H. A. White, Principal. Fourteenth, northeast corner Washington avenue.",,
Kansas City,1877,44,15,LATHROP SCHOOL,Uncategorized,,"LATHROP SCHOOL. Mrs. Clara Hoffman, Principal. Eighth, southeast corner May.",,
Kansas City,1877,44,16,BENTON SCHOOL,Uncategorized,,"BENTON SCHOOL. Mrs. E. W. Mathews, Principal. Lib- erty, northeast corner Fourteenth, West Kansas.",,
Kansas City,1877,44,17,LINCOLN SCHOOL,Uncategorized,,"LINCOLN SCHOOL. (Colored). J. D. Bowser, Principal. Ninth, southeast corner Charlotte.",,
Kansas City,1877,44,18,MORSE SCHOOL,Uncategorized,,"MORSE SCHOOL. Mrs. Mary E. Lewis, Principal. Char- lotte, southeast corner Twentieth.",,
Kansas City,1877,44,19,WOODLAND SCHOOL,Uncategorized,,"WOODLAND SCHOOL. - Miss Elizabeth B. Densmore, Principal. Eighth, corner Johnson.",,
Kansas City,1877,44,20,"KANSAS CITY, KANSAS, PUBLIC SCHOOL, No. 3",Uncategorized,,"KANSAS CITY, KANSAS, PUBLIC SCHOOL, No. 3.-W. S. Beards, Principal, Kansas City, Kansas.",,
Kansas City,1877,44,1,SPALDING'S COMMERCIAL COLLEGE,Uncategorized,,"SPALDING'S COMMERCIAL COLLEGE.-J. F. Spalding, A. M., President. Dry Goods Palace Building, 712 and 714 Main.",,
Kansas City,1877,44,2,Sister's of St. Joseph,Uncategorized,,"ST. TERESA'S ACADEMY. - Sister's of St. Joseph in charge. Twelfth, northwest corner Washington.",,
Kansas City,1877,44,3,COLLEGE OF PHYSICIANS AND SURGEONS,Uncategorized,,"COLLEGE OF PHYSICIANS AND SURGEONS.-L. Κ. Thacher, President; E. W. Schauffler, M. D., Secretary; T. B. Lester, M. D., President of the Faculty; E. W. Schauffler, M. D., Secretary of the Faculty; T. J. Eston, Treasurer of the Faculty. College Building, Main, junction Delaware.",,
Kansas City,1877,44,4,KANSAS CITY MEDICAL COLLEGE,Uncategorized,,"KANSAS CITY MEDICAL COLLEGE.-A. B. Sloan, M. D., President; George Halley, M. D., Vice President; J. W. Elston, M. D., Secretary. Meets monthly, in College Building, Main, junction Delaware.",,
Kansas City,1877,44,5,KANSAS CITY LAW LIBRARY ASSOCIATION,Libraries,,"KANSAS CITY LAW LIBRARY ASSOCIATION.-P. S. Brown, President; Turner A. Gill, Vice-President; Milton Moore, Secretary; G. Lathrop, Treasurer; John C. Gage, Auditor; R. E. Woodson, Librarian. Rooms, Court House.",,
Kansas City,1877,44,6,PUBLIC SCHOOL LIBRARY,Libraries,,"PUBLIC SCHOOL LIBRARY.-J. Craig, Librarian. 728 Main.",,
Kansas City,1877,44,7,JOURNAL OF COMMERCE,Uncategorized,,"JOURNAL OF COMMERCE.-Daily, Tri-weekly and Weekly. Published by the Journal Company. I. P. Moore, President and Business Manager; R. T. Van Horn, Vice- President; James A. Mann, Secretary. South side Fifth, between Main and Delaware.",,
Kansas City,1877,44,8,Kansas City Times Company,Uncategorized,,"KANSAS CITY TIMES. Published Daily, Tri-weekly and Weekly, by the Kansas City Times Company. J. E. Muntord. President; Samuel Williams, Vice-President; M. Munford",,
Kansas City,1877,46,1,Times Building,Uncategorized,,"Secretary and General Manager. Times Building, south side Fifth, between Main and Delaware.",,
Kansas City,1877,46,2,POST & TRIBUNE,Uncategorized,,"POST & TRIBUNE (GERMAN).-Daily. Wuerz & Lampe, Proprietors. 906 Main.",,
Kansas City,1877,46,3,Evening Mail Company,Uncategorized,,"EVENING MAIL.-Evening Mail Company, Publishers. Issued Daily from No. 12 West Missouri avenue.",,
Kansas City,1877,46,4,WESTLICHE VOLKSZEITUNG,Uncategorized,,"WESTLICHE VOLKSZEITUNG. (GERMAN WEEKLY).- Wuerz & Lampe, Publishers. 906 Main.",,
Kansas City,1877,46,5,KANSAS CITY COURIER,Uncategorized,,"KANSAS CITY COURIER (GERMAN).-Published Weekly, by Oscar Koehler. Fifth, southwest corner Main.",,
Kansas City,1877,46,6,"Ramsey, Millett & Hudson",Uncategorized,,"PRICE CURRENT.-Published by the Price Current Com- pany, office of Ramsey, Millett & Hudson. South side Mis- souri avenue, between Main and Delaware.",,
Kansas City,1877,46,7,THE WESTERN REVIEW OF SCIENCE AND INDUS- TRY,Uncategorized,,THE WESTERN REVIEW OF SCIENCE AND INDUS- TRY.-A Monthly Publication. Edited by Theo. S. Case.,,
Kansas City,1877,46,8,THE CHURCH GUIDE,Churches,,"THE CHURCH GUIDE.-Published Monthly. Herman C. Duncan and M. Erastus Buck, Editors.",,
Kansas City,1877,46,9,MASONIC HALL,Benevolent and Fraternal,,"MASONIC HALL.-Main, northwest corner Seventh, over new post-office.",,
Kansas City,1877,46,10,"KANSAS CITY COMMANDERY KNIGHTS TEMPLAR, No. 10",Benevolent and Fraternal,,"KANSAS CITY COMMANDERY KNIGHTS TEMPLAR, No. 10.-Hold their regular conclave at their Asylum, Masonic Hall, on the second and fourth Thursdays of each month, at 7 P. M. H. P. White, E, C.",,
Kansas City,1877,46,11,"KANSAS CITY R. A. CHAPTER, No. 28",Benevolent and Fraternal,,"KANSAS CITY R. A. CHAPTER, No. 28.-Hold their regu- lar Convocation at Masonic Hall, on the first and third Thurs- day of each month, at 7 P. M. Herman C. Duncan, H. P.",,
Kansas City,1877,46,12,"HEROINE LODGE, No. 104, A. F. & A. M.",Benevolent and Fraternal,,"HEROINE LODGE, No. 104, A. F. & A. M.-Meets at Ma- sonic Hall, on the first and third Mondays in each month. Samuel Latz, W. M.",,
Kansas City,1877,46,13,"KANSAS CITY LODGE, No. 220, A. F. & A. M.",Benevolent and Fraternal,,"KANSAS CITY LODGE, No. 220, A. F. & A. M.-Meets at Masonic Hall every second and fourth Monday in each month. W. E. Whiting, W. M.",,
Kansas City,1877,46,1,"RURAL LODGE, No. 316, A. F. & A. M.",Benevolent and Fraternal,,"RURAL LODGE, No. 316, A. F. & A. M. Meets at Ma- sonic Hall every second and fourth Wednesday in each month. T. W. Butler, W. М.",,
Kansas City,1877,46,2,"TEMPLE LODGE, No. 269, A. F. & A. M.",Benevolent and Fraternal,,"TEMPLE LODGE, No. 269, A. F. & A. M. Meets at Ma- sonic Hall on the first Tuesday in each month. J. H. Towt, W. M.",,
Kansas City,1877,46,3,"KING DAVID LODGE, No. 364, A. F. & A. M.",Benevolent and Fraternal,,"KING DAVID LODGE, No. 364, A. F. & A. M.-Hold their regular communication at Masonic Hall, Ninth street, West Kansas, on the second and fourth Wednesdays of each month, at 7 P. M. C. M. Crouse, W. M.",,
Kansas City,1877,46,4,"EMANUEL CHAPTER, No. 81, (EASTERN STAR)",Benevolent and Fraternal,,"EMANUEL CHAPTER, No. 81, (EASTERN STAR). Meets at Masonic Hall on the second and fourth Tuesdays in each month. Mrs. G. E. Heydon, Worthy Matron.",,
Kansas City,1877,46,5,MASONIC BOARD OF RELIEF,Benevolent and Fraternal,,"MASONIC BOARD OF RELIEF.-W. E. Whiting, Presi- dent; H. C, Litchfield, Secretary; E. R. Hunter, Treasurer. Masonic Hall.",,
Kansas City,1877,46,7,GRAND LODGE OF MISSOURI,Benevolent and Fraternal,,"GRAND LODGE OF MISSOURI.-Charles D. Lucas Su- preme Prelate and Past Grand Chancellor; J. F. Spalding, Grand Chancellor; Jno. P. Swygard, Grand Keeper of Records and Seals. Office, Main, northwest corner Ninth.",,
Kansas City,1877,46,8,"HUMBOLDT LODGE, No. 4 (GERMAN)",Benevolent and Fraternal,,"HUMBOLDT LODGE, No. 4 (GERMAN). -Meets at their Hall on Tuesday evening of each week. Charles Schmack, C. C.; H. J. Schwarzel, K. of R. and S.",,
Kansas City,1877,46,9,"SICILIAN LODGE, No. 39",Benevolent and Fraternal,,"SICILIAN LODGE, No. 39.-Meets at 720 Main, Friday evening of each week. W. H. Winants, C. C.; W. E. Winner, K. of R. and S.",,
Kansas City,1877,46,10,KANSAS CITY LODGE No. 1,Benevolent and Fraternal,,"KANSAS CITY LODGE No. 1. Meets at their Hall, 720 Main, on Wednesday evening of each week. Charles D. Lucas, C. C.; R. B. Buffington, K. of R. and S.",,
Kansas City,1877,46,11,"KANSAS CITY LODGE, No. 257",Benevolent and Fraternal,,"KANSAS CITY LODGE, No. 257-R. H. Maybury, N. G. Meets at their Hall, 529 Main, every 'Saturday evening.",,
Kansas City,1877,48,1,"WYANDOTTE LODGE, No. 35",Benevolent and Fraternal,,"WYANDOTTE LODGE, No. 35. N. Schwartz, N. G. Meets every Tuesday evening, at 7 o'clock, at their Hall, 529 Main.",,
Kansas City,1877,48,2,"LINCOLN LODGE, No. 173",Benevolent and Fraternal,,"LINCOLN LODGE, No. 173.-Meets every Friday evening, at 7 o'clock, at their Hall, 529 Main.",,
Kansas City,1877,48,3,"KANSAS CITY ENCAMPMENT, No. 27",Benevolent and Fraternal,,"KANSAS CITY ENCAMPMENT, No. 27.-Meets on the second and fourth Thursday of each month, at their Hall, 529 Main.",,
Kansas City,1877,48,4,"RISING STAR LODGE, No. 148",Benevolent and Fraternal,,"RISING STAR LODGE, No. 148. Holds regular meetings every Saturday evening in Knights of Pythias Hall. Charles Brooke, Jr., W. C. T.; H. W. Tracy, W. Secretary; J. W. Allen, G. L. D.",,
Kansas City,1877,48,5,ANCIENT ORDER OF HIBERNIANS,Benevolent and Fraternal,,"ANCIENT ORDER OF HIBERNIANS.-Meets on the first Monday in each month, at their Hall, Main, northeast corner Seventh. Patrick H. Reynolds, President; Dennis Vaughan, Vice President; Andrew Vaughan, Secretary; Thos. Conway, Treasurer.",,
Kansas City,1877,48,6,IRISH BENEVOLENT SOCIETY,Benevolent and Fraternal,,"IRISH BENEVOLENT SOCIETY.-Meets on the first Sunday in each month, in the basement of Father Dunn's Church. Jeremiah Dowd, President; John Gilday, Vice President; Jno. Ryan, Treasurer; Jeremiah Enright, Secretary.",,
Kansas City,1877,48,7,B'NAI BRITH SOCIETY,Clubs,,"B'NAI BRITH SOCIETY. Regular meetings in Good Templars' Hall, second and fourth Mondays in each month. H. B. Ezekiel, President; Sam. Heller, Secretary; August Levy, Treasurer.",,
Kansas City,1877,48,8,YOUNG MEN'S CHRISTIAN ASSOCIATION,Youth Organizations,,"YOUNG MEN'S CHRISTIAN ASSOCIATION. -John Doggett, President; O. S. Lyford, Vice President; W. S. Lewis, General Secretary; F. C. Lee, Recording Secretary; J. W. Byers, Treasurer. Meets first Tuesday of each month, and annually on the first Tuesday in October. Rooms 718 Main.",,
Kansas City,1877,48,9,WOMAN'S CHRISTIAN ASSOCIATION,Welfare Organizations,,"WOMAN'S CHRISTIAN ASSOCIATION.-Walnut, northwest corner Thirteenth. Mrs. E. H. Allen, President; Mrs. J. W. L. Slavens, Vice President; Miss Mattie Tomlinson,",,
Kansas City,1877,48,2,WIDOWS AND ORPHANS' HOME,Welfare Organizations,,"WIDOWS AND ORPHANS' HOME.-Located south of city limits. Mrs. Dr. Lykins, Superintendent.",,
